,Unnamed: 0,Unnamed: 0.1,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad cielo Equiponderado Coseno:True Gamma_corr:True,Intensidad cielo Equiponderado Coseno:False Gamma_corr:True,Intensidad cielo Equiponderado Coseno:True Gamma_corr:False,Intensidad cielo Equiponderado Coseno:False Gamma_corr:False,Intensidad cielo CCIR Coseno:True Gamma_corr:True,Intensidad cielo CCIR Coseno:False Gamma_corr:True,Intensidad cielo CCIR Coseno:True Gamma_corr:False,Intensidad cielo CCIR Coseno:False Gamma_corr:False,Intensidad cielo ITUR Coseno:True Gamma_corr:True,Intensidad cielo ITUR Coseno:False Gamma_corr:True,Intensidad cielo ITUR Coseno:True Gamma_corr:False,Intensidad cielo ITUR Coseno:False Gamma_corr:False,Intensidad nubes,Intensidad nubes Equiponderado Coseno:True Gamma_corr:True,Intensidad nubes Equiponderado Coseno:False Gamma_corr:True,Intensidad nubes Equiponderado Coseno:True Gamma_corr:False,Intensidad nubes Equiponderado Coseno:False Gamma_corr:False,Intensidad nubes CCIR Coseno:True Gamma_corr:True,Intensidad nubes CCIR Coseno:False Gamma_corr:True,Intensidad nubes CCIR Coseno:True Gamma_corr:False,Intensidad nubes CCIR Coseno:False Gamma_corr:False,Intensidad nubes ITUR Coseno:True Gamma_corr:True,Intensidad nubes ITUR Coseno:False Gamma_corr:True,Intensidad nubes ITUR Coseno:True Gamma_corr:False,Intensidad nubes ITUR Coseno:False Gamma_corr:False,ghi,Azimuth,Zenith
1084,1084,2020-05-10 15:54:00,982.5002136230468,243.7426986694336,0.8649311377933248,0.0,27375.0,0.6801910316818135,0.018435770531328763,0.07975938768180374,0.012398146360158482,0.04676191364807336,0.01802733899652435,0.07789491609148852,0.011705737877047642,0.04403759249832866,0.018221973225991842,0.07872963850587622,0.011926209830109656,0.04484467203881736,0.729161613764478,0.3768616361316381,0.6344179376347346,0.27512696307406925,0.4530931359269722,0.3718719963967601,0.6255106562226601,0.2663078363161269,0.4377674077231665,0.3747168333976773,0.6306745842285267,0.27030894006900624,0.4447235646926332,948.4204007725375,231.8812624409836,31.61767763003934
1085,1085,2020-05-10 15:56:00,1244.4429931640625,275.870346069336,0.8777170206073299,0.0,5117.5,0.6944624224099029,0.01440336808020566,0.06809388779112631,0.009536580954128671,0.03897520005096628,0.014023753508940891,0.0663188078074646,0.008914931195158494,0.03646147089562296,0.014227294673390747,0.06724507955610365,0.009116290871604031,0.03728943933980836,0.7621437560820082,0.3979310502730622,0.6712263275024763,0.30149505335443355,0.500403836909599,0.3934196337847812,0.663239351551084,0.2932336605391828,0.4859177609751454,0.39653476768957147,0.6689465468627799,0.29767788198481915,0.4939118126798558,948.9152955690394,232.5824415800874,31.918176444882164
1086,1086,2020-05-10 15:58:00,1200.6614990234375,307.5016021728516,0.8472254711643172,0.0,30527.0,0.6839500888407235,0.023611499436178133,0.08932505846720999,0.015180319659470462,0.05203881285472913,0.02295201710165081,0.08703052566003036,0.014149176485487363,0.04871289627006413,0.02324057300528686,0.08805741451574271,0.01442104463978861,0.04964871446124952,0.7443940634746004,0.3700860539055802,0.6341503075121104,0.2746169321256413,0.4621456404860489,0.3654088039862109,0.6256580804387389,0.2663745532947993,0.4474330164810161,0.36811224692545896,0.630669611159189,0.2700985150882394,0.4541787355697785,949.3498953234332,233.273369214407,32.221485641666185
1087,1087,2020-05-10 16:00:00,884.8041381835938,280.825698852539,0.7951287823350474,0.25,15735.0,0.7017226432023553,0.037146655832352604,0.12282036543772135,0.023477491543797253,0.0725861925760258,0.036054930174524456,0.1195917492680144,0.02179019350096946,0.0678954477884462,0.03651170388106513,0.12093570743821815,0.02221808130041604,0.06914012004202963,0.77059016642887,0.3500080593272639,0.616187602206099,0.27013345846695896,0.4663062432862257,0.34576014950725,0.6083377324849399,0.2623223523961602,0.4521207379567187,0.3480224172732672,0.6127184207119489,0.26558576273016443,0.4583186110545328,949.7241673238233,233.95424895454883,32.527520514843275
1088,1088,2020-05-10 16:02:00,1260.6174926757812,307.40370178222656,0.6898214537686348,0.25,33835.0,0.7012938671696387,0.062036761209523235,0.19044707313019246,0.03967205738120278,0.11523952137846336,0.06021342439979303,0.1853650910936061,0.036824924105577916,0.10770792438605163,0.060976987388455424,0.18748127282408608,0.03754871542465914,0.10972427986706748,0.7782785584378136,0.3099645106602109,0.5399119322437869,0.2401970023238217,0.41300323390792093,0.30604951199858205,0.5328948372372501,0.2329341858059529,0.4001215622004621,0.3081664366567564,0.53687324661853,0.2361470698467417,0.40595983780184935,950.0380833252888,234.62528336839443,32.836198386505416
1089,1089,2020-05-10 16:04:00,662.0901489257812,390.56939697265625,0.7009396331193016,0.0,28455.0,0.6960404091430048,0.055838331502681235,0.18385935571770334,0.03651964493641096,0.11162960951083636,0.0543121490953551,0.17894238809944366,0.034066070946049506,0.1043167190758817,0.05497002154960117,0.1809434494276111,0.03471743389945363,0.10622002771827913,0.770058533374292,0.3261864203241038,0.5429778049785029,0.25026549001896514,0.4108015118219117,0.32202687887080805,0.5357686931728888,0.2426327423277179,0.3977739906056348,0.32425841738119104,0.5397645458637637,0.2460128517967224,0.4035831902631983,950.2916197306039,235.28667497370884,33.14743918091139
1090,1090,2020-05-10 16:06:00,735.1290893554688,434.10279846191406,0.7693704401846452,0.25,35110.0,0.6840221119947242,0.036087411797817055,0.13189937722166512,0.023154150770241074,0.0762079692652696,0.03493200196696766,0.12821989700094422,0.02135817009988021,0.07084228197661371,0.03542073397608336,0.12997136155417438,0.021801819265918357,0.07236644288819395,0.7545531410104258,0.34393327908733196,0.5829592725794379,0.2600070715327896,0.4305067040168274,0.34006082912507113,0.5758727228643415,0.25304585431476884,0.4180012262361836,0.34255465213328273,0.580530882241898,0.25649892415932785,0.4243204540192858,950.4847576443359,235.93862498149258,33.46116497136785
1091,1091,2020-05-10 16:08:00,602.1521606445312,428.2393493652344,0.7474590668454926,0.0,27818.0,0.6795444568780364,0.04146117194830126,0.14378683396878186,0.026732873420751254,0.08331140206097885,0.040124050596988765,0.1396929985063114,0.024607937883421263,0.07729488860267522,0.04066740332760147,0.14159180374119387,0.02512160276412369,0.07896235565941068,0.7537891941893441,0.3358879833459221,0.5661024548966714,0.2533158462185981,0.4176453103045814,0.3320063524003415,0.5590746287435974,0.2464122278114456,0.4053660580659196,0.3343602032965088,0.5634265676869828,0.2496835180063856,0.4112960913653309,950.6174826365071,236.58133321439675,33.77730003392348
1092,1092,2020-05-10 16:10:00,518.3329620361328,400.4224548339844,0.7530731215892944,0.0,30710.5,0.6828216998930599,0.04072379381396756,0.14234367962142422,0.025997886173202037,0.0828804003542457,0.03934775850381,0.1382290086274128,0.02380821771501706,0.07678599296967126,0.0399219697965716,0.14013664132034126,0.0243324761395456,0.0784636579255788,0.7567827593100129,0.3394229947283955,0.5724540314324462,0.2570946404470065,0.42431920262181017,0.33545844033768285,0.5653217690244458,0.24980411563727395,0.4114944961000981,0.3379407123451443,0.5699127549185511,0.2533351902343826,0.4178624183517899,950.689785132252,237.2149980477568,34.095770908836066
1093,1093,2020-05-10 16:12:00,420.8353118896485,366.5524597167969,0.7790108912872983,0.0,33785.5,0.6895524797202323,0.040916093057187936,0.1333185157383661,0.026222892802876915,0.07977142144863424,0.03962242480183605,0.129542888471449,0.02417230894211753,0.07414685219226076,0.040157631468034714,0.1311462656449632,0.024658360345363776,0.07560628565750363,0.7712373144226335,0.3669366878658606,0.6040418614886915,0.2833436886268559,0.4578951577002314,0.3624934691332512,0.5963204499111533,0.27509648267004594,0.4438889297581506,0.36498125466982295,0.6008022677023981,0.2788709900912991,0.4503659503851242,950.7016601324287,237.83981531406778,34.416505921303354
