,Tiempo,Zenith,Azimuth,Area,Circul,A_Z,A_A,Área Predecida
0,2020-05-18 14:16:00+02:00,0.18616105181300482,-0.9189016530140935,20033.5,0.7369876000042922,19377.992281535408,19260.58867839208,18170.36870884482
0,2020-05-18 14:18:00+02:00,0.18798373984619635,-0.9067961422717827,20107.5,0.6939310391700034,19542.33358401875,19386.0250340049,17886.599552558124
0,2020-05-18 14:20:00+02:00,0.18996182016746638,-0.8941127857587251,19977.5,0.7299233800394543,19696.354887441965,19518.54338641101,17600.044875380554
0,2020-05-18 14:22:00+02:00,0.19209167783555486,-0.8809141851332417,20029.5,0.7612742299840061,19836.136278111488,19647.162213172993,17313.086395157516
0,2020-05-18 14:24:00+02:00,0.19436933270255755,-0.8672628184626395,20109.5,0.6799534493660938,19958.357417296385,19762.094349142335,17028.04254424153
0,2020-05-18 14:26:00+02:00,0.19679048007368102,-0.8532202966892003,20286.5,0.7134217991057907,20060.395212723874,19855.571049952796,16747.13982323768
0,2020-05-18 14:29:00+02:00,0.20068115354992466,-0.831553938295232,20115.0,0.6989112412906991,20171.75472410745,19944.840011536693,16338.128512398966
0,2020-05-18 14:31:00+02:00,0.20344046800602436,-0.8167915619067516,20184.0,0.6947581943591097,20216.93021044461,19967.679788474798,16076.504483303812
0,2020-05-18 14:33:00+02:00,0.206326299473863,-0.8018379138353401,20151.0,0.6920492867283558,20238.869869802613,19962.329103619064,15825.771426423977
0,2020-05-18 14:35:00+02:00,0.2093334464714349,-0.7867436285169761,20352.0,0.7484470689452702,20238.416321196128,19932.131791576096,15587.497410288808
0,2020-05-18 14:37:00+02:00,0.2124566373698122,-0.7715558544326024,20344.5,0.7166245673994583,20217.072593113873,19881.949094934756,15363.075170001277
0,2020-05-18 14:39:00+02:00,0.21569057488873714,-0.75631806615942,20529.5,0.7130750029899948,20176.910505664768,19817.579960613235,15153.720249821228
0,2020-05-18 14:41:00+02:00,0.2190299791204579,-0.7410699523769764,20544.5,0.7121096253473073,20120.46488267486,19745.201249078327,14960.472494016169
0,2020-05-18 14:43:00+02:00,0.22246962164231485,-0.7258474033055229,20757.0,0.7240362974016643,20050.619436906418,19670.87484045817,14784.200821989885
0,2020-05-18 14:45:00+02:00,0.2260043670959536,-0.7106825125236292,20479.5,0.7381613324859815,19970.489508181112,19600.150799706924,14625.609855897375
0,2020-05-18 14:47:00+02:00,0.2296291995562203,-0.6956036859315038,20477.5,0.7236593386178594,19883.307002332993,19537.780468283894,14485.249205003376
0,2020-05-18 14:49:00+02:00,0.2333392501100183,-0.6806357721575713,20320.0,0.6978532830291394,19792.311517666792,19487.53910208799,14363.523951055904
0,2020-05-18 14:51:00+02:00,0.23712982026820933,-0.665800230446557,20663.5,0.7360051480403134,19700.651162669063,19452.14832822563,14260.706244586312
0,2020-05-18 14:53:00+02:00,0.2409963946351024,-0.6511153519205739,20632.0,0.7526977741691039,19611.295789761934,19433.28239444973,14176.947726555867
0,2020-05-18 14:55:00+02:00,0.24493466206568162,-0.6365964515464094,20671.0,0.7688706741457106,19526.96387674939,19431.639024978784,14112.291904790429
0,2020-05-18 14:57:00+02:00,0.24894052019584162,-0.622256122479518,20649.0,0.690440081591212,19450.06456532888,19447.05573720678,14066.68685425332
0,2020-05-18 14:59:00+02:00,0.2530100825164938,-0.6081044718651915,20612.5,0.748375418484247,19382.654582371237,19478.65352025117,14039.997443620785
0,2020-05-18 15:01:00+02:00,0.2571396808605587,-0.5941493620202135,20550.5,0.7793744505876632,19326.409825861454,19524.99265771259,14032.01709372236
0,2020-05-18 15:03:00+02:00,0.26132586626818594,-0.5803966429370493,20286.5,0.7004384506064787,19282.610708935186,19584.228535207396,14042.478871838612
0,2020-05-18 15:05:00+02:00,0.26556540019448405,-0.5668503997777035,20268.0,0.7487194497283026,19252.14013525285,19654.258339235847,14071.065772996866
0,2020-05-18 15:07:00+02:00,0.26985525755806067,-0.5535131433582995,20219.0,0.7124436396018462,19235.49246397405,19732.852950543074,14117.420177357708
0,2020-05-18 15:09:00+02:00,0.2741926139025057,-0.5403860338841487,20134.5,0.6341995014335228,19232.792201309465,19817.770158727442,14181.152375109741
0,2020-05-18 15:11:00+02:00,0.2785748381027642,-0.5274690668715212,20216.0,0.676535352838834,19243.8205851526,19906.84805122699,14261.848181600479
0,2020-05-18 15:13:00+02:00,0.2829994825700996,-0.5147612483254446,20320.5,0.7315797849030674,19268.048582150368,19998.078554920743,14359.075652528118
0,2020-05-18 15:15:00+02:00,0.28746427411388487,-0.502260750092643,20093.0,0.7354644181298572,19304.674788249657,20089.662334511548,14472.390968110223
0,2020-05-18 15:17:00+02:00,0.29196709684388794,-0.4899650701604861,20102.5,0.6625272991842178,19352.66675092769,20180.04669536689,14601.343298038293
0,2020-05-18 15:19:00+02:00,0.29650598974115433,-0.4778711359179721,20178.5,0.6617813368574854,19410.804634053027,20267.94913861781,14745.479286086236
0,2020-05-18 15:22:00+02:00,0.3033780068771918,-0.4601007266862985,19972.5,0.6131861327159375,19514.026373496745,20393.03592240605,14989.163823871117
0,2020-05-18 15:24:00+02:00,0.30799937351712364,-0.4484950578480296,19955.5,0.6943934389884706,19591.365385601996,20470.967746372728,15169.28844440321
0,2020-05-18 15:26:00+02:00,0.31265096419775773,-0.43707751381584004,20025.0,0.6136736667301839,19673.748290644493,20544.1297813123,15363.034944485466
0,2020-05-18 15:30:00+02:00,0.32203920594896046,-0.41478926185729786,19923.0,0.6512702107046212,19847.626610521227,20676.147847861455,15789.684051108256
0,2020-05-18 15:40:00+02:00,0.34594911124478356,-0.3620495404813245,20265.0,0.6064392733557836,20274.56440323335,20944.56571121713,17065.918454852057
0,2020-05-18 15:44:00+02:00,0.355666510738633,-0.3420539384155442,19762.0,0.6705577457819766,20422.85051445244,21045.32249651601,17652.411250058984
0,2020-05-18 15:46:00+02:00,0.3605543337683981,-0.3322752330154035,19773.0,0.6547882387182079,20490.486498159822,21098.78500015713,17960.566024840227
0,2020-05-18 15:48:00+02:00,0.36546043263014377,-0.3226373721604035,19893.0,0.6814537626903733,20553.913348929724,21155.984369476417,18278.234415498184
0,2020-05-18 15:50:00+02:00,0.37038398346425605,-0.31313660917950265,20007.5,0.6236385012136091,20613.529963822803,21218.210202626928,18605.11021389172
0,2020-05-18 15:52:00+02:00,0.37532419165553327,-0.30376931681042285,19885.0,0.6132077415125625,20669.975322546903,21286.756409722966,18940.89744096817
0,2020-05-18 15:54:00+02:00,0.3802802823435588,-0.29453200001622015,20009.0,0.6477362536897336,20724.122612200445,21362.907024151842,19285.30945775233
0,2020-05-18 15:56:00+02:00,0.3852514995630875,-0.2854212911503867,20130.5,0.6190896557977172,20777.069991503842,21447.92354279422,19638.068602223648
0,2020-05-18 16:08:00+02:00,0.4153560216167204,-0.23324246634742843,20444.0,0.6418892625226312,21155.647413284518,22209.437588072964,21915.381083109824
0,2020-05-18 16:10:00+02:00,0.4204131603584545,-0.22493371082207458,20836.5,0.6905502203443359,21246.513967942214,22387.895076323824,22319.455765067716
0,2020-05-18 16:13:00+02:00,0.4280165754841265,-0.21266449088043934,20925.0,0.7085584987346533,21409.06095522805,22687.779249683008,22937.493095927
0,2020-05-18 16:15:00+02:00,0.4330963745039566,-0.2046108177745673,21211.5,0.7508198783886577,21538.220268225763,22910.15219707966,23357.155380301425
0,2020-05-18 16:17:00+02:00,0.43818410672417385,-0.19665512610854868,21427.0,0.7188662951587143,21686.641308103455,23151.16275919228,23782.683818754376
0,2020-05-18 16:19:00+02:00,0.44327913569056715,-0.18879522004197086,21960.0,0.7517617538556194,21856.52984243119,23411.295965279838,24213.87478122441
0,2020-05-18 16:21:00+02:00,0.4483808330023237,-0.18102897429825568,22300.5,0.7410618211664483,22050.02050388418,23690.951696686687,24650.52923049526
0,2020-05-18 16:23:00+02:00,0.45348857121040204,-0.1733543404468684,22554.5,0.7119713568398733,22269.148988165893,23990.444725942485,25092.45190093419
0,2020-05-18 16:25:00+02:00,0.45860173382289,-0.1657693274761246,23086.5,0.7025648668426213,22515.825942391297,24310.00619472956,25539.451957081008
0,2020-05-18 16:27:00+02:00,0.4637197083025301,-0.1582720085156177,23623.5,0.6736088360598029,22791.81155256508,24649.78460982803,25991.342208734786
0,2020-05-18 16:29:00+02:00,0.46884188756362344,-0.15086051484603066,24194.5,0.7041788043938846,23098.69205445866,25009.847684305525,26447.939064148406
0,2020-05-18 16:31:00+02:00,0.4739676698140136,-0.14353303263845432,24854.5,0.6600044784765794,23437.858058936894,25390.18443548646,26909.062351487373
0,2020-05-18 16:33:00+02:00,0.47909646013067053,-0.13628779751036998,25470.0,0.673969594816899,23810.485118317185,25790.707716871977,27374.535310145235
0,2020-05-18 16:35:00+02:00,0.48422766339762996,-0.12912310144560882,26382.5,0.6641265423816429,24217.51596881263,26211.256318926702,27844.183805765075
0,2020-05-18 16:37:00+02:00,0.4893606944915045,-0.12203727550609465,27279.0,0.710131703401377,24659.64654106344,26651.598640792916,28317.837117983625
0,2020-05-18 16:39:00+02:00,0.49449497122686525,-0.11502869722719301,28087.0,0.7182869284837128,25137.313392093172,27111.435191140452,28795.327179029264
0,2020-05-18 16:41:00+02:00,0.4996299159075487,-0.10809578582383846,29316.0,0.6588652892745273,25650.68453355413,27590.401901890356,29276.488591859772
0,2020-05-18 16:43:00+02:00,0.5047649551831415,-0.10123700008564465,29993.5,0.6586268783420031,26199.653031255584,28088.07341549175,29761.158508376408
0,2020-05-18 16:45:00+02:00,0.5098995215545694,-0.09445083417838186,30527.5,0.6245399688728589,26783.833753533196,28603.966626305973,30249.176668427972
0,2020-05-18 16:47:00+02:00,0.5150330463075815,-0.08773582487666631,31564.5,0.6511523954853495,27402.562117728172,29137.543404377786,30740.38462887064
0,2020-05-18 16:49:00+02:00,0.5201649696607789,-0.0810905361964487,32381.0,0.6500044402916496,28054.897806148743,29688.215084629228,31234.626635941444
0,2020-05-18 16:51:00+02:00,0.5252947336270103,-0.07451356698792357,33116.0,0.6551202714737375,28739.629500606097,30255.34523349848,31731.74885995347
0,2020-05-18 16:53:00+02:00,0.5304217835555256,-0.06800354715457044,33601.5,0.609871099410003,29455.283507879823,30838.25326427439,32231.599459733
0,2020-05-18 16:55:00+02:00,0.5355455695765504,-0.06155913415697744,34312.5,0.6185634132140925,30200.135275642853,31436.218051235002,32734.02864512625
0,2020-05-18 16:57:00+02:00,0.5406655394944396,-0.05517902037764687,34958.5,0.6623112354685297,30972.222375347046,32048.48048783611,33238.88790594031
0,2020-05-18 16:59:00+02:00,0.545781148858274,-0.04886191894929548,35977.0,0.6409794768367734,31769.36258182139,32674.247999304895,33746.03092849365
0,2020-05-18 17:01:00+02:00,0.5508918537877828,-0.0426065713672243,36495.0,0.6456329832653697,32589.17187755718,33312.69697585259,34255.31282564723
0,2020-05-18 17:03:00+02:00,0.5559971124357711,-0.036411744234931036,37120.5,0.6652179926578122,33429.085933210794,33962.97612969711,34766.590213515694
0,2020-05-18 17:06:00+02:00,0.563643609224413,-0.02723033862556142,38004.0,0.6744295648512417,34720.66387742595,34958.6546192579,35536.93781476389
0,2020-05-18 17:08:00+02:00,0.5687328922036536,-0.021181573090168545,38873.5,0.6576133521607826,35598.65220363834,35634.63054660233,36052.58567517577
0,2020-05-18 17:10:00+02:00,0.5738148440892636,-0.015189195822615256,39539.5,0.7375673781109011,36486.701357076876,36319.2824834409,36569.73772154249
0,2020-05-18 17:12:00+02:00,0.5788889284028497,-0.009252075513780213,40564.0,0.7184447649834933,37381.746884593274,37011.6710334118,37088.25622617532
0,2020-05-18 17:14:00+02:00,0.5839546090009929,-0.0033691013658242496,41471.5,0.6842613025208589,38280.6902881118,37710.84469630447,37608.004480807605
0,2020-05-18 17:16:00+02:00,0.5890113496943276,0.0024608175515463035,42201.0,0.7360604029743485,39180.42877755361,38415.842338071605,38128.8467063219
0,2020-05-18 17:18:00+02:00,0.5940586156289871,0.008238754949500535,43069.0,0.7289979890748202,40077.88556718337,39125.69579800782,38650.64814527954
0,2020-05-18 17:20:00+02:00,0.5990958661380803,0.01396576014599737,43826.0,0.6943353676911171,40970.038569575874,39839.43117292773,39173.274275315634
0,2020-05-18 17:22:00+02:00,0.6041225645425103,0.019642870335067494,44950.0,0.6977902590258594,41853.95169841871,40556.07238334028,39696.59177290635
0,2020-05-18 17:24:00+02:00,0.6091381710339409,0.025271103380664083,45727.0,0.6439913943058976,42726.80243150564,41274.6422397556,40220.467733229525
0,2020-05-18 17:26:00+02:00,0.6141421439559684,0.030851460273926958,46860.0,0.729012502950988,43585.90981988935,41994.16458195766,40744.769755927075
0,2020-05-18 17:28:00+02:00,0.6191339394592312,0.036384925728587036,47506.5,0.6983730300265453,44428.76084094681,42713.66608498302,41269.365862778795
0,2020-05-18 17:30:00+02:00,0.624113012756552,0.04187247044959425,48319.5,0.7226471790965601,45253.03533668537,43432.178180752104,41794.12458825993
0,2020-05-18 17:32:00+02:00,0.6290788110707163,0.047315044315792476,49432.0,0.6693075377284988,46056.627607739065,44148.73768542429,42318.91419127352
0,2020-05-18 17:34:00+02:00,0.6340307832589923,0.05271358791010339,50236.5,0.7026243124688452,46837.66849753284,44862.389732615964,42843.603626013704
0,2020-05-18 17:36:00+02:00,0.6389683727114174,0.058069025569802965,50936.5,0.7141790949365999,47594.54215762997,45572.18819189601,43368.06175215129
0,2020-05-18 17:38:00+02:00,0.6438910186221348,0.06338226770246094,51414.0,0.7202884865285566,48325.90141105838,46277.197206238794,43892.15742570936
0,2020-05-18 17:40:00+02:00,0.648798157225852,0.06865421300546476,52394.5,0.6949775380688928,49030.68002868374,46976.49263192569,44415.75958899538
0,2020-05-18 17:42:00+02:00,0.6536892147812952,0.07388574179253089,52938.5,0.6911915996410563,49708.10058137379,47669.16221419477,44938.73648116761
0,2020-05-18 17:44:00+02:00,0.6585636170497411,0.07907772708952175,53341.0,0.7064751300880561,50357.681210138835,48354.30803944346,45460.956606601234
0,2020-05-18 17:46:00+02:00,0.6634207822389665,0.08423102788205278,54392.0,0.7203080271455273,50979.23640680057,49031.04654203482,45982.287942958035
0,2020-05-18 17:48:00+02:00,0.6682601222472251,0.08934649138244895,54808.0,0.7138341310215629,51572.875257543055,49698.50963501528,46502.59803006584
0,2020-05-18 17:50:00+02:00,0.6730810422006761,0.09442495336382015,55416.0,0.7016934811275002,52138.99559576763,50355.84551558889,47021.7538813937
0,2020-05-18 17:52:00+02:00,0.6778829416126397,0.09946724026699309,55621.0,0.6693667316833823,52678.27442023996,51002.21963221047,47539.6220671436
0,2020-05-18 17:54:00+02:00,0.6826652075115188,0.10447416286656208,56580.5,0.7083121794090077,53191.653478412656,51636.814511956516,48056.06793154414
0,2020-05-18 17:56:00+02:00,0.6874272236179014,0.10944652675160098,56839.5,0.6876974762703607,53680.322701861616,52258.83168511807,48570.956542781205
0,2020-05-18 17:59:00+02:00,0.6945309065113497,0.11684200939605498,57254.5,0.6648099966767922,54370.14840001054,53166.57384010515,49340.07185676164
0,2020-05-18 18:01:00+02:00,0.699239537272486,0.12173142987709018,57417.5,0.6954331019364317,54803.66857534903,53753.77802123781,49850.47018748916
0,2020-05-18 18:03:00+02:00,0.7039256863489951,0.12658903186987583,57761.0,0.6779905980732687,55218.248144919286,54325.76172679565,50358.830956094316
0,2020-05-18 18:05:00+02:00,0.7085886902197396,0.13141557467027512,58252.0,0.6593543400385956,55615.870445451,54881.814951729175,50865.01397973916
0,2020-05-18 18:07:00+02:00,0.7132278792866324,0.13621181432658092,58306.5,0.6967464491878429,55998.603313652566,55421.249251127316,51368.878272518064
0,2020-05-18 18:09:00+02:00,0.7178425710828646,0.14097849749006433,58566.0,0.6889204987577412,56368.55814396753,55943.397324804275,51870.28126669077
0,2020-05-18 18:11:00+02:00,0.7224320713007807,0.14571636338891866,58815.0,0.6577832541611435,56727.847043660004,56447.6135377117,52369.07888137123
0,2020-05-18 18:13:00+02:00,0.7269956732961084,0.15042614424603815,59057.0,0.717965775400657,57078.53761020233,56933.2742310662,52865.125424834114
0,2020-05-18 18:15:00+02:00,0.7315326590469268,0.15510856716623647,59498.5,0.707833578892537,57422.60598289245,57399.77815663302,53358.27365644951
0,2020-05-18 18:17:00+02:00,0.736042292525675,0.15976434828205185,60103.0,0.7066922015651685,57761.88792711077,57846.54613268151,53848.37401976893
0,2020-05-18 18:19:00+02:00,0.7405238283055408,0.1643942025330687,60254.0,0.6667416389343978,58098.030164561234,58273.02223974645,54335.27553571903
0,2020-05-18 18:21:00+02:00,0.7449765048454997,0.16899883773118904,60843.5,0.7031995239347716,58432.44015315571,58678.67343667756,54818.82502579973
0,2020-05-18 18:23:00+02:00,0.7493995454867963,0.1735789565507108,61430.0,0.6564276499967082,58766.23662406881,59062.98996956032,55298.86717507319
0,2020-05-18 18:25:00+02:00,0.7537921592888087,0.1781352583844601,61778.0,0.6887664050294843,59100.20086281304,59425.4857305176,55775.2445761947
0,2020-05-18 18:27:00+02:00,0.7581535345682239,0.1826684336425314,62501.5,0.6194890078492058,59434.72881166311,59765.698029025116,56247.79698159227
0,2020-05-18 18:29:00+02:00,0.762482847119881,0.18717917330677689,63453.0,0.6240501137481597,59769.78630624758,60083.188577044944,56716.362146596395
0,2020-05-18 18:31:00+02:00,0.7667792536674477,0.19166816317273405,63855.0,0.656626933322148,60104.86587067763,60377.54325990373,57180.77507037301
0,2020-05-18 18:33:00+02:00,0.7710418927215533,0.1961360857814757,64058.5,0.6470783604209273,60438.947437596275,60648.37254405375,57640.86803988958
0,2020-05-18 18:35:00+02:00,0.7752698838988515,0.20058362079068234,64434.5,0.6955675080455941,60770.462998141535,60895.31177686261,58096.47050528937
0,2020-05-18 18:37:00+02:00,0.7794623286541498,0.20501144685496336,64664.5,0.6549775704920029,61097.26610725862,61118.02158242655,58547.40910646094
0,2020-05-18 18:39:00+02:00,0.7836183040036073,0.2094202360997962,64655.0,0.6650952602671156,61416.60627865093,61316.187924397425,58993.50694591414
0,2020-05-18 18:41:00+02:00,0.7877368702073072,0.21381066338761745,64592.0,0.6727339797177712,61725.110585753806,61489.52293831205,59434.58436081215
0,2020-05-18 18:43:00+02:00,0.7918170644609989,0.21818340082163007,64767.0,0.7029682842928585,62018.77095338679,61637.7650506445,59870.45818949069
0,2020-05-18 18:45:00+02:00,0.7958579015282016,0.22253911958279246,65087.5,0.658282512336515,62292.939418894704,61760.67952241124,60300.94178433191
0,2020-05-18 18:47:00+02:00,0.7998583743308353,0.2268784918202062,65288.0,0.6843554544478724,62542.33139658696,61858.058994475046,60725.84501559666
0,2020-05-18 18:49:00+02:00,0.8038174478315028,0.23120218527694206,65287.0,0.6997033124910734,62761.037133496255,61929.72393574038,61144.97356217142
0,2020-05-18 18:52:00+02:00,0.8096761174891672,0.23765979836536338,65548.5,0.7109419791207235,63017.15281179035,61988.68452219745,61762.40500207321
0,2020-05-18 18:54:00+02:00,0.813527015027047,0.24194723571185978,65488.5,0.684791272554801,63129.40222064033,61995.467167457755,62166.22225544274
0,2020-05-18 18:56:00+02:00,0.8173327009578366,0.24622134833649806,66010.5,0.7486941469201767,63185.749679526314,61976.136792046644,62563.5540581979
0,2020-05-18 18:58:00+02:00,0.8210920249287028,0.2504828117410533,65665.0,0.6612209254568956,63177.87335371552,61930.64840926797,62954.18758016435
0,2020-05-18 19:00:00+02:00,0.8248038092011756,0.2547323051137567,65640.0,0.6833988904006958,63097.06448305352,61858.989327641946,63337.905508647076
0,2020-05-18 19:02:00+02:00,0.8284668427639719,0.2589705060641302,66308.0,0.7069477144047639,62934.304468742805,61761.18034946895,63714.48537031267
