,Unnamed: 0,Unnamed: 0.1,Radiacion,Radiacion difusa,Ratio nubes,Factor solar,Área solar,Intensidad cielo,Intensidad cielo Equiponderado Coseno:True Gamma_corr:True,Intensidad cielo Equiponderado Coseno:False Gamma_corr:True,Intensidad cielo Equiponderado Coseno:True Gamma_corr:False,Intensidad cielo Equiponderado Coseno:False Gamma_corr:False,Intensidad cielo CCIR Coseno:True Gamma_corr:True,Intensidad cielo CCIR Coseno:False Gamma_corr:True,Intensidad cielo CCIR Coseno:True Gamma_corr:False,Intensidad cielo CCIR Coseno:False Gamma_corr:False,Intensidad cielo ITUR Coseno:True Gamma_corr:True,Intensidad cielo ITUR Coseno:False Gamma_corr:True,Intensidad cielo ITUR Coseno:True Gamma_corr:False,Intensidad cielo ITUR Coseno:False Gamma_corr:False,Intensidad nubes,Intensidad nubes Equiponderado Coseno:True Gamma_corr:True,Intensidad nubes Equiponderado Coseno:False Gamma_corr:True,Intensidad nubes Equiponderado Coseno:True Gamma_corr:False,Intensidad nubes Equiponderado Coseno:False Gamma_corr:False,Intensidad nubes CCIR Coseno:True Gamma_corr:True,Intensidad nubes CCIR Coseno:False Gamma_corr:True,Intensidad nubes CCIR Coseno:True Gamma_corr:False,Intensidad nubes CCIR Coseno:False Gamma_corr:False,Intensidad nubes ITUR Coseno:True Gamma_corr:True,Intensidad nubes ITUR Coseno:False Gamma_corr:True,Intensidad nubes ITUR Coseno:True Gamma_corr:False,Intensidad nubes ITUR Coseno:False Gamma_corr:False,ghi,Azimuth,Zenith
1029,1029,2020-05-22 13:56:00,829.69189453125,86.97007369995117,0.02539386163241331,1.0,15519.5,0.9717917924658892,0.9137756315388944,0.9483404220635654,0.8874074952663101,0.9209736833124184,0.9132375101550324,0.947779298281516,0.8834557869514763,0.9168647934266441,0.9125983835802264,0.9471120489146004,0.8832254701586991,0.9166247300346716,0.8817291935299737,0.01954530408413144,0.022506361220814643,0.0176550627284053,0.019935136387064813,0.019341112438964785,0.02226495477559416,0.01720626331420017,0.01941472761946833,0.019431005228389583,0.022390509137759532,0.017351926674299297,0.019605974117778792,836.7177361384253,169.35295179499337,20.201763744098454
1030,1030,2020-05-22 13:58:00,832.1968994140625,88.01251602172852,0.02539643995119008,1.0,15546.5,0.9715248093006672,0.9145223506078284,0.949346701308978,0.8880154614420687,0.9218303838954448,0.9129625063349356,0.9477254568572812,0.8827603469737557,0.9163696192902936,0.9121219407707228,0.9468503796250486,0.8826485737671401,0.9162524062163022,0.8809503120345015,0.019428115548629984,0.02249512652553451,0.017547635902114063,0.019904905430741325,0.019219910002793703,0.02224847456706704,0.01709318384985638,0.019376953561356703,0.019307187106018038,0.02237300169956638,0.017238494931564662,0.01957007009149773,840.4923221349113,170.6974108753781,20.13559444322773
1031,1031,2020-05-22 14:00:00,834.3002014160156,89.27542495727539,0.023743972007896217,1.0,15441.5,0.9717120307129818,0.9167228689987602,0.9518817274906328,0.8904780711913325,0.9246273701889408,0.9142934937003364,0.949362813265906,0.8843393995003285,0.9182529950494862,0.9135987846004612,0.9486368454917816,0.8842386870305252,0.918146935503182,0.8849309513806588,0.01836078781240269,0.021117606968158988,0.016637989355712358,0.018769314082143832,0.018170052038238096,0.020892624130178818,0.016223525278250533,0.018288431448160808,0.01825699169037436,0.02101177573850333,0.016364505727707056,0.01847178291433194,844.2173930466577,172.04924390611177,20.07825899153707
1032,1032,2020-05-22 14:02:00,834.1152648925781,90.02518463134766,0.023610954198276458,1.0,15676.0,0.9715444835111094,0.9165528914130784,0.9518565580655696,0.8902518007262886,0.9245415145701004,0.9142248879090344,0.9494418336385956,0.8839864574697235,0.9180327621186662,0.9134214158991624,0.9486031491806344,0.8839487785618315,0.9179926174762146,0.8869430355709919,0.01850204657609696,0.0210504152327985,0.01677708854588323,0.01875522036659959,0.018309816101877482,0.02082616225838029,0.016358754686102657,0.01827458762668836,0.018395704735352784,0.020941571389346974,0.016499122634022232,0.01845275161383744,847.8926623605536,173.40744554225319,20.02983435329098
1033,1033,2020-05-22 14:04:00,840.5128784179688,91.00442504882812,0.02318482842226111,1.0,15821.5,0.9714631747383256,0.9166703023490808,0.9522377568090808,0.8903640175702437,0.924911128342918,0.9143821095272744,0.9498638713799148,0.8841997922028865,0.9185018053483603,0.9134974600957828,0.9489402812058793,0.8839284257120429,0.9182215666285416,0.8883157353553229,0.01800663689929137,0.0206991338051909,0.016384651485600272,0.01847300350651156,0.01782479252586234,0.02048286669598107,0.015987116538086755,0.01800928747702675,0.01790620563780935,0.02059544790900787,0.016121159348875074,0.018183195291046672,851.5178437825064,174.7709768685801,19.9903862052484
1034,1034,2020-05-22 14:08:00,848.4776611328125,91.78948593139648,0.023234050871635815,1.0,15890.5,0.9720633598449006,0.9139095516948772,0.9507001661621306,0.8876913833579267,0.9234266577219892,0.9131188599077004,0.9498837533268916,0.8835004597206859,0.919070938289603,0.9127313334218004,0.9494799800285711,0.8833277652870104,0.9188938531457106,0.892316732929806,0.018380889365873763,0.0208145513395196,0.016757485021602184,0.01865631997905476,0.0182125784938662,0.020615688525671392,0.016382598474509347,0.018222370822559432,0.018302040854288788,0.020732132366502985,0.016529357719372976,0.01840412830771414,858.6168310624823,177.50973626618588,19.938623131105302
1035,1035,2020-05-22 14:10:00,853.4550476074219,92.10841751098631,0.023754871264543474,1.0,15362.0,0.9712747681832904,0.9141140061824132,0.9512790144049984,0.8876879807170848,0.9237768298866992,0.912255814164452,0.9493450665542524,0.8818114203821761,0.9176554173071916,0.9111607832305264,0.9481990599421738,0.8817507618183483,0.9175922438160864,0.8846050014208581,0.018640695268566845,0.021135462703272816,0.016855935355388246,0.01878892087014728,0.018440970316082283,0.020901801609679898,0.016420722878457802,0.018288918194546845,0.018525737078855253,0.02101367792872378,0.016561161336279485,0.01846369408572749,862.0900890200136,178.88276555641602,19.926379615952357
1036,1036,2020-05-22 14:12:00,856.5672607421875,92.2740364074707,0.02676857432566416,0.85,15148.0,0.971186152368455,0.9089446611158568,0.946684598948803,0.8823519931164285,0.9189826544003444,0.9086367182291964,0.9463658156158368,0.8784100005437278,0.9148792310559534,0.90751399840441,0.9451918274298704,0.8781726812200951,0.9146331615219035,0.8799386965148257,0.02108701369446784,0.02370240221486653,0.0188717974198224,0.020923427894178424,0.020850173279643017,0.023430307839308717,0.018355497175770303,0.020339122243798042,0.020948077274416988,0.02355470439968515,0.01851432287805066,0.020532182460898538,865.5121645636997,180.25673961434387,19.923254912707293
1037,1037,2020-05-22 14:14:00,860.9188537597656,92.12355041503906,0.023969457704555608,1.0,15911.5,0.9720906070438352,0.9118592165825491,0.9509139996667432,0.8858584749976238,0.9237973363739312,0.9101917682348056,0.9491739566122068,0.8808826385962759,0.91859983300969,0.9098269385104296,0.9487900325218822,0.8806439057982786,0.9183545217112814,0.8907326112655357,0.018895339549377957,0.02144494223330888,0.017194664632504863,0.019189118507274783,0.01871479799419465,0.021231451827139224,0.01679884429580291,0.018730814680798336,0.01880557047806439,0.02135037765179763,0.016945437601719873,0.01891239013759849,868.882794843602,181.6305340622473,19.9292533056217
1038,1038,2020-05-22 14:16:00,866.2133178710938,92.00151443481444,0.023727095739539173,1.0,16787.5,0.9717290448677284,0.9131537110445764,0.9506924875042908,0.8868494229299964,0.9233035438806052,0.9118793712415452,0.949366963922914,0.8819436420868212,0.9181921498816638,0.9112199220626036,0.948672716481118,0.8818552708593914,0.918102828885614,0.8885368977467631,0.018400544649392357,0.02117463842977336,0.016762145421852642,0.018913004129126564,0.018230855816725282,0.02096665969265494,0.01638569227829066,0.018464071295744355,0.018317107291288732,0.021082400040950574,0.01652768150557961,0.018642773038496832,872.201717652296,183.0030255128701,19.94436637292869
